epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46985,1.21024,2.85847,1.44236,0.00333,1,0.73245,0.40239,0.94143,2.90156,1.34051,0.00022,0.00022,0.00022
2,10.162,0.87222,1.71218,1.13582,0.01208,0.96296,0.90145,0.5119,1.02216,2.64749,1.30974,0.000450892,0.000450892,0.000450892
3,14.8835,0.94937,1.59722,1.17214,0.93128,0.50254,0.69818,0.47386,1.15903,2.77065,1.59929,0.00067228,0.00067228,0.00067228
4,19.5974,0.89407,1.5926,1.11037,0.80945,0.47244,0.76982,0.46413,1.05768,2.29076,1.38131,0.000884164,0.000884164,0.000884164
5,24.1786,0.95743,1.46153,1.1882,0.80471,0.7037,0.84388,0.54855,1.19812,2.27159,1.54431,0.00108654,0.00108654,0.00108654
6,28.7696,0.99163,1.46826,1.21751,0.78683,0.96296,0.9046,0.5309,1.21918,1.84657,1.5488,0.00127942,0.00127942,0.00127942
7,33.4342,0.89354,1.3688,1.17657,0.81516,0.92593,0.91055,0.55739,1.23904,1.71257,1.6255,0.00146279,0.00146279,0.00146279
8,37.9402,0.96231,1.32467,1.18077,0.88854,0.88586,0.84619,0.51864,1.16923,1.68577,1.6654,0.00163666,0.00163666,0.00163666
9,42.5122,0.94919,1.41951,1.14786,0.84688,0.85185,0.86742,0.59741,1.16442,1.57465,1.41953,0.0016832,0.0016832,0.0016832
10,47.095,0.90064,1.28871,1.12844,0.8316,1,0.93333,0.61985,1.19607,1.53701,1.48394,0.0016436,0.0016436,0.0016436
11,51.7053,0.90473,1.23486,1.13691,0.82148,0.68213,0.7733,0.51411,1.16474,1.75946,1.41841,0.001604,0.001604,0.001604
12,56.3368,0.81056,1.1268,1.07755,0.87083,0.62963,0.74349,0.50576,1.06713,1.86768,1.35567,0.0015644,0.0015644,0.0015644
13,60.9822,0.8061,1.09303,1.08275,0.7906,0.74074,0.75336,0.54278,1.08187,1.80589,1.45454,0.0015248,0.0015248,0.0015248
14,65.584,0.81835,1.0477,1.0926,0.85475,0.65425,0.72556,0.5311,1.1468,1.88479,1.47058,0.0014852,0.0014852,0.0014852
15,70.242,0.82739,1.11816,1.10862,0.8186,0.7037,0.76643,0.58001,1.0752,1.65987,1.40496,0.0014456,0.0014456,0.0014456
16,75.0599,0.81446,1.06374,1.06239,0.77395,0.7612,0.80076,0.54609,1.22976,1.72091,1.50074,0.001406,0.001406,0.001406
17,79.7976,0.77707,1.06118,1.0541,0.83283,0.9227,0.85566,0.62345,1.00463,1.36796,1.37265,0.0013664,0.0013664,0.0013664
18,84.3598,0.79858,1.03351,1.03986,0.80307,0.92593,0.88005,0.59038,1.00127,1.39942,1.35616,0.0013268,0.0013268,0.0013268
19,88.9975,0.85441,1.05384,1.10931,0.88237,0.85185,0.93445,0.68187,0.9539,1.22953,1.24844,0.0012872,0.0012872,0.0012872
20,93.6946,0.786,0.92968,1.07572,0.91262,0.85185,0.95013,0.66551,1.09506,1.21315,1.39612,0.0012476,0.0012476,0.0012476
21,98.4768,0.73173,0.91695,1.0264,0.86412,0.94243,0.95608,0.68557,1.01863,1.11189,1.36031,0.001208,0.001208,0.001208
22,103.074,0.71234,0.91492,1.01194,0.87991,0.92593,0.95701,0.70355,0.96171,1.14717,1.30359,0.0011684,0.0011684,0.0011684
23,107.841,0.71936,0.86107,1.01935,0.89998,0.99979,0.93463,0.66333,0.94266,1.31188,1.31942,0.0011288,0.0011288,0.0011288
24,112.528,0.74445,0.86535,1.03382,0.82838,0.92593,0.89679,0.6536,0.97901,1.35693,1.37346,0.0010892,0.0010892,0.0010892
25,117.238,0.72772,0.81762,1.03096,0.88848,0.92593,0.92619,0.61431,1.05997,1.1328,1.42675,0.0010496,0.0010496,0.0010496
26,121.878,0.69602,0.85761,1.00865,0.888,0.92593,0.92871,0.66971,0.95028,0.98497,1.36019,0.00101,0.00101,0.00101
27,126.573,0.6772,0.7667,1.01048,0.86605,1,0.94567,0.6696,0.94965,0.91906,1.40289,0.0009704,0.0009704,0.0009704
28,137.962,0.68209,0.79495,1.02795,0.86578,0.95582,0.93188,0.69787,0.95129,0.93468,1.39799,0.0009308,0.0009308,0.0009308
29,142.707,0.74766,0.8283,1.06175,0.86625,0.95964,0.9215,0.70033,0.9626,0.97374,1.33375,0.0008912,0.0008912,0.0008912
30,148.497,0.69292,0.77418,1.00102,0.8659,0.9568,0.92136,0.69755,0.92142,0.96684,1.3059,0.0008516,0.0008516,0.0008516
31,156.983,0.66249,0.75309,0.99764,0.85563,0.92593,0.94285,0.68491,0.89041,0.90826,1.23591,0.000812,0.000812,0.000812
32,163.003,0.597,0.70154,0.96815,0.88084,0.88889,0.93812,0.69786,0.9006,0.93074,1.2333,0.0007724,0.0007724,0.0007724
